SMILES,True_Value,Predicted_Value,Absolute_Error,Relative_Error_%,Data_Index
C([C@H]([C@@H]([C@@H](CO)O)O)O)O,47.79999923706055,47.88368225097656,0.08368301391601562,0.17506906956419796,1
[C@H]([C@@H]([C@@H](C=O)O)O)([C@@H](CO)O)O,48.400001525878906,51.631038665771484,3.231037139892578,6.675696359565156,7
