SMILES,True_Value,Predicted_Value,Absolute_Error,Relative_Error_%,Data_Index
O([C@H]1[C@@H]([C@H]([C@@H](O)[C@@H](CO)O1)O)O)[C@H]1[C@@H]([C@H]([C@@H](O)O[C@@H]1CO)O)O,31.399999618530273,13.265778541564941,18.134221076965332,57.75229712507281,10
C(=O)(N)NCC,21.700000762939453,32.078067779541016,10.378067016601562,47.82519194342997,9
